sys_title,sys_description,sys_content_plaintext,source,target
"puppet guide","puppet configuration tool red hat satellite book runs creation basic puppet module use module red hat satellite infrastructure ","","api access redhat com:any","webserver"
"red hat support tomcat rhel upstream eol","http tomcat apache org tomcat eol html http tomcat apache org tomcat eol html upstream stop supporting tomcat september red hat support tomcat rpm package rhel eol upstream stop supporting tomcat december red hat support tomcat rpm package rhel eol newer version apache tomcat greater available rhel newer version apache tomcat greater available rhel life cycle apache tomcat rhel short answer community upstream eol tomcat tomcat applicable tomcat rpm packages shipped rhel red hat support tomcat rhel tomcat rhel long rhel version production phase longer answer apache tomcat open source software implementation java servlet javaserver pages technologies apache tomcat included red hat enterprise linux red hat enterprise linux specific versions differ releases red hat enterprise linux includes apache tomcat red hat enterprise linux includes apache tomcat occasionally duration support individual component differs community upstream red hat red hat enterprise linux case apache tomcat version maintained community september red hat enterprise linux continue include apache tomcat consistent life cycle plans remove apache tomcat packages red hat enterprise linux september apache tomcat red hat enterprise linux supported commercially reasonable basis means red hat include new features later tomcat releases red hat evaluate critical business impacting issues elect provide proactive updates apache tomcat september similarly apache tomcat included red hat enterprise linux life red hat enterprise linux transition commercially reasonable support longer supported community december references http tomcat apache org tomcat eol html http tomcat apache org tomcat eol html https access redhat com support policy updates errata https access redhat com support policy updates errata red hat support tomcat rhel upstream eol ","red hat enterprise linux rhel tomcat red hat enterprise linux rhel tomcat","api access redhat com:any","webserver"
"support lifecycle jboss products","link information jboss products support lifecycle end life dates versions jboss eap specifically eap timeline end support jboss ews let know details end life software support details current version action provide link end support dates jboss webserver looking information eap eap support details support end maintenance support end dates detailed information jboss products support lifecycle red hat jboss middleware red hat jboss operations network product update support policy page support lifecycle jboss products ","red hat jboss enterprise application platform eap versions red hat jboss portal platform epp versions red hat jboss web platform ewp versions red hat jboss web server ews versions red hat jboss fuse fuse versions red hat jboss fuse service works fsw versions red hat jboss soa platform soa versions red hat jboss business rules management platform brms versions red hat jboss developer studio jbds versions red hat jboss communications platform jbcp versions red hat jboss web framework kit wfk versions red hat jboss operations network jon versions","api access redhat com:any","webserver"
"cve cve cve affect tomcat included rhel","cve https access redhat com security cve cve cve https access redhat com security cve cve cve https access redhat com security cve cve affect apache tomcat rpm package included rhel vulnerabilities affect apache tomcat rpm packages included rhel following security errata released rhel rhel tomcat included rhel rhsa https rhn redhat com errata rhsa html tomcat included rhel rhsa https rhn redhat com errata rhsa html rhel currently production phase end production phase noted red hat enterprise linux life cycle page https access redhat com support policy updates errata won release critical impact security advisories rhsas selected urgent priority bug fix advisories rhbas vulnerabilities rated having moderate low security impact issue currently planned addressed rhel cve cve cve affect tomcat included rhel ","red hat enterprise linux rhel tomcat","api access redhat com:any","webserver"
"rfe request package ziproxy","red hat provide package ziproxy currently maintain package zip proxy zip proxy http ziproxy sourceforge net preferred red hat supported version available alternate package mod deflate module exactly fulfill requirements rfe request raised red hat engineering team rfe request feature enhancement tracked internal bugzilla bug https bugzilla redhat com bug cgi rfe request package ziproxy ","red hat enterprise linux","api access redhat com:any","webserver"
"ews instance running mod advertise activated gets contacted eap instances share advertise address","rogue cluster registrations mod cluster currently investigating situation newly provisioned ews instance running mod advertise activated gets contacted eap instances share advertise address suspect ews instance started overlapping advertise addresses time eaps attached yes information stored prevent certain nodes discovered mod cluster mod advertise enabled discovering wrong jboss eap instances shouldn run multiple instances jboss eap belonging different mod cluster advertise group disable mod advertise turn advertisement communicate proxylist instead jboss home server production deploy mod cluster sar meta inf mod cluster jboss beans xml corresponding modclusterservice hamodclusterservice set false set proxylist port valid join mod cluster set property jboss modcluster proxylist deploy mod cluster sar meta inf mod cluster jboss beans xml jboss modcluster proxylist isolate jboss node mod advertise enabled edit jboss home server profile deploy mod cluster sar metainf mod cluster jboss beans xml jboss mod cluster advertise address jboss partition udpgroup jboss mod cluster advertise port change advertisegroupaddress advertiseport set values nodes excluded changes command line option follows clustered configuration node included run node djboss mod cluster advertise port node included run node djboss mod cluster advertise port node included run node djboss mod cluster advertise port node included run node djboss mod cluster advertise port non clustered configuration node included run node djboss mod cluster advertise address djboss mod cluster advertise port node included run node djboss mod cluster advertise address djboss mod cluster advertise port node included run node djboss mod cluster advertise address djboss mod cluster advertise port node included run node djboss mod cluster advertise address djboss mod cluster advertise port https apache configuration add serveradvertise advertisegroup args advertisegroup correspond values advertisegroupaddress advertiseport jboss home server profile deploy mod cluster sar metainf mod cluster jboss beans xml args djboss mod cluster advertise port unspecified default advertisegroup port missing default port ews instance running mod advertise activated gets contacted eap instances share advertise address ","red hat jboss enterprise application platform eap red hat jboss enterprise web server ews mod cluster","api access redhat com:any","webserver"
"jboss ews supported jboss epp mod cluster","plan use mod cluster ews apache balance requests epp nodes confirm supported configuration yes apache httpd ews supported jboss epp need use epp supported modcluster module apache httpd modcluster version epp ews jboss epp based eap eap box provide mod cluster final ews box provides mod cluster final mod cluster final compatible epp supported configuration need download mod cluster final module supported epp deploy ews mod cluster final rhel downloaded https access redhat com jbossnetwork restricted softwaredetail html softwareid product appplatform version downloadtype distributions jboss ews supported jboss epp mod cluster ","red hat jboss web server ews red hat jboss portal epp","api access redhat com:any","webserver"
"cve cve affect apache httpd included red hat products","cve cve affect apache httpd included red hat products deal cve cve security concerns reported nessus security vulnerability vulnerability affects apache httpd included red hat products listed environment section following security erratas released rhel httpd red hat jboss eap red hat jboss ews rhel httpd red hat jboss eap red hat jboss ews rhscl httpd httpd rhel httpd rhscl httpd httpd red hat jboss eap red hat jboss ews check information issues following pages cve cve cve cve affect apache httpd included red hat products ","red hat enterprise linux red hat software collections rhscl red hat jboss enterprise application platform eap red hat jboss web server ews apache web server httpd","api access redhat com:any","webserver"
"cve affect apache httpd included red hat products","cve https access redhat com security cve cve affect apache httpd included red hat products deal cve https access redhat com security cve cve vulnerability affects apache httpd included red hat products listed environment section following security erratas released rhel httpd ews eap rhel httpd rhscl httpd httpd ews eap rhel httpd rhscl httpd httpd eap ews note ews extended life support phase noted page https access redhat com support policy updates jboss notes cve https access redhat com security cve cve rated important https access redhat com security updates classification important impact plan release security patch ews vulnerability related mod status module apache httpd mitigate issue disabling mod status module limiting access mod status page cve affect apache httpd included red hat products ","red hat enterprise linux rhel red hat software collections rhscl red hat jboss enterprise web server ews red hat jboss enterprise application platform eap apache web server httpd","api access redhat com:any","webserver"
"cve jboss","cve impact jboss fixes available cve https access redhat com security cve cve impacts eap eap fix issued eap given impact level issue eap maintenance mode support issue fixed eap later noted jboss product update support policy page https access redhat com support policy updates jboss notes eap soa currently maintenance support phase product maintenance phase release security patches qualified important critical impact select mission critical bug fix patches cve jboss ","jboss enterprise application platform eap","api access redhat com:any","webserver"
